time,liver_damage,liver_viability,liver_GSH,heart_V,heart_force,heart_hERG_block,C_blood,C_liver,C_heart,IL6,TNFa,IL10,inflammatory_index
0.0,0.0015,0.9985,10.34,-84.99247192652243,0.008967755315220202,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,0.0
1.0,0.7682789472615771,0.23172105273842292,0.0,-84.91745935398444,0.003318924508318566,0.0,0.0,26601898.022785783,26601898.022785783,2651.736096184114,8643.36930302148,0.0,11295105399.205593
2.0,0.7682789472615771,0.23172105273842292,0.0,-84.84266868019625,0.0012243882862201672,0.0,0.0,357743072242.9759,357743072242.97595,12000.743380745002,26393.578341743116,0.0,38394321722.48812
3.0,0.7682789472615771,0.23172105273842292,0.0,-84.76809895919136,0.0004513782528605105,0.0,0.0,4810938903171758.0,4810938903171758.0,20543.417594134513,37171.58166482659,0.0,57714999258.961105
4.0,0.7682789472615771,0.23172105273842292,0.0,-84.69374944979388,0.00016649779936429702,0.0,0.0,6.469764175987039e+19,6.4697641759870394e+19,28441.4634187403,43918.544731472066,0.0,72360008150.21237
5.0,0.7682789472615771,0.23172105273842292,0.0,-84.61961942125443,6.151215827439673e-05,0.0,0.0,8.7005570711549e+23,8.700557071154899e+23,35826.869538606974,48368.95763452799,0.0,84195827173.13496
6.0,0.7682789472615771,0.23172105273842292,0.0,-84.5457081468632,2.2790337395756065e-05,0.0,0.0,1.1700533634500618e+28,1.1700533634500618e+28,42803.990250700605,51536.555673914576,0.0,94340545924.61517
7.0,0.7682789472615771,0.23172105273842292,0.0,-84.47201490264561,8.484474531809152e-06,0.0,0.0,1.5734910559457783e+32,1.5734910559457783e+32,49458.038319089304,54013.17919931208,0.0,103471217518.4014
8.0,0.7682789472615771,0.23172105273842292,0.0,-84.39853896683364,3.183786856616467e-06,0.0,0.0,2.1160352001731856e+36,2.116035200173186e+36,55860.452437673426,56143.89984925766,0.0,112004352286.93109
9.0,0.7682789472615771,0.23172105273842292,0.0,-84.32527961951988,1.2102944316116612e-06,0.0,0.0,2.845650092164406e+40,2.845650092164407e+40,62072.384625596365,58129.62240452342,0.0,120202007030.1198
10.0,0.7682789472615771,0.23172105273842292,0.0,-84.25223614238857,4.6978744672697283e-07,0.0,0.0,3.8268382522051334e+44,3.8268382522051334e+44,68147.04362679576,60087.18025465975,0.0,128234223881.4555
