# Primal Logic Processor Output
# K=0.5
# lambda=2.0
t,velocity,error,integral,control,comfort
0.940,29.165775,29.165775,3.195666,-1.597833,100.00
0.950,29.149797,29.149797,3.194661,-1.597330,100.00
0.960,29.133824,29.133824,3.429644,-1.714822,100.00
0.970,29.116675,29.116675,3.428485,-1.714243,100.00
0.980,29.099533,29.099533,3.427327,-1.713664,100.00
0.990,29.082396,29.082396,3.426169,-1.713085,100.00
1.000,29.065266,29.065266,3.425012,-1.712506,100.00
1.010,29.048141,29.048141,3.423855,-1.711927,100.00
1.020,29.031021,29.031021,3.422698,-1.711349,100.00
1.030,29.013908,29.013908,3.421541,-1.710771,100.00
1.040,28.996800,28.996800,3.651700,-1.825850,100.00
1.050,28.978542,28.978542,3.650382,-1.825191,100.00
1.060,28.960290,28.960290,3.649065,-1.824532,100.00
1.070,28.942044,28.942044,3.647747,-1.823874,100.00
1.080,28.923806,28.923806,3.646430,-1.823215,100.00
1.090,28.905573,28.905573,3.645114,-1.822557,100.00
1.100,28.887348,28.887348,3.643797,-1.821899,100.00
1.110,28.869129,28.869129,3.642481,-1.821241,100.00
1.120,28.850916,28.850916,3.867901,-1.933950,100.00
1.130,28.831577,28.831577,3.866416,-1.933208,100.00
1.140,28.812245,28.812245,3.864931,-1.932465,100.00
1.150,28.792920,28.792920,3.863446,-1.931723,100.00
1.160,28.773603,28.773603,3.861962,-1.930981,100.00
1.170,28.754293,28.754293,3.860478,-1.930239,100.00
1.180,28.734991,28.734991,3.858995,-1.929498,100.00
1.190,28.715696,28.715696,3.857512,-1.928756,100.00
1.200,28.696408,28.696408,4.078275,-2.039138,100.00
1.210,28.676017,28.676017,4.076616,-2.038308,100.00
1.220,28.655634,28.655634,4.074956,-2.037478,100.00
1.230,28.635259,28.635259,4.073297,-2.036649,100.00
1.240,28.614893,28.614893,4.071639,-2.035820,100.00
1.250,28.594534,28.594534,4.069981,-2.034991,100.00
1.260,28.574184,28.574184,4.068324,-2.034162,100.00
1.270,28.553843,28.553843,4.066667,-2.033333,100.00
1.280,28.533509,28.533509,4.282855,-2.141428,100.00
1.290,28.512095,28.512095,4.281014,-2.140507,100.00
1.300,28.490690,28.490690,4.279174,-2.139587,100.00
1.310,28.469294,28.469294,4.277334,-2.138667,100.00
1.320,28.447908,28.447908,4.275494,-2.137747,100.00
1.330,28.426530,28.426530,4.273655,-2.136828,100.00
1.340,28.405162,28.405162,4.271817,-2.135909,100.00
1.350,28.383803,28.383803,4.269980,-2.134990,100.00
1.360,28.362453,28.362453,4.481674,-2.240837,100.00
1.370,28.340044,28.340044,4.479645,-2.239822,100.00
1.380,28.317646,28.317646,4.477617,-2.238808,100.00
1.390,28.295258,28.295258,4.475589,-2.237795,100.00
1.400,28.272880,28.272880,4.473563,-2.236781,100.00
1.410,28.250512,28.250512,4.471537,-2.235768,100.00
1.420,28.228155,28.228155,4.469511,-2.234756,100.00
1.430,28.205807,28.205807,4.467486,-2.233743,100.00
1.440,28.183470,28.183470,4.674765,-2.337383,100.00
1.450,28.160096,28.160096,4.672543,-2.336271,100.00
1.460,28.136733,28.136733,4.670321,-2.335161,100.00
1.470,28.113382,28.113382,4.668101,-2.334050,100.00
1.480,28.090041,28.090041,4.665881,-2.332940,100.00
