# Primal Logic Processor Output
# K=0.5
# lambda=2.0
t,velocity,error,integral,control,comfort
4.710,16.663695,16.663695,8.179620,-4.089810,100.00
4.720,16.622797,16.622797,8.260657,-4.130329,100.00
4.730,16.581494,16.581494,8.249244,-4.124622,100.00
4.740,16.540248,16.540248,8.237843,-4.118921,100.00
4.750,16.499059,16.499059,8.226452,-4.113226,100.00
4.760,16.457926,16.457926,8.215073,-4.107537,100.00
4.770,16.416851,16.416851,8.203705,-4.101852,100.00
4.780,16.375832,16.375832,8.192348,-4.096174,100.00
4.790,16.334871,16.334871,8.181002,-4.090501,100.00
4.800,16.293966,16.293966,8.260025,-4.130012,100.00
4.810,16.252666,16.252666,8.248425,-4.124213,100.00
4.820,16.211423,16.211423,8.236837,-4.118418,100.00
4.830,16.170239,16.170239,8.225260,-4.112630,100.00
4.840,16.129113,16.129113,8.213695,-4.106847,100.00
4.850,16.088045,16.088045,8.202141,-4.101071,100.00
4.860,16.047034,16.047034,8.190599,-4.095299,100.00
4.870,16.006081,16.006081,8.179068,-4.089534,100.00
4.880,15.965185,15.965185,8.256117,-4.128059,100.00
4.890,15.923905,15.923905,8.244334,-4.122167,100.00
4.900,15.882683,15.882683,8.232563,-4.116282,100.00
4.910,15.841520,15.841520,8.220804,-4.110402,100.00
4.920,15.800416,15.800416,8.209057,-4.104529,100.00
4.930,15.759371,15.759371,8.197322,-4.098661,100.00
4.940,15.718384,15.718384,8.185598,-4.092799,100.00
4.950,15.677456,15.677456,8.173886,-4.086943,100.00
4.960,15.636587,15.636587,8.249001,-4.124500,100.00
4.970,15.595342,15.595342,8.237039,-4.118520,100.00
4.980,15.554157,15.554157,8.225089,-4.112545,100.00
4.990,15.513031,15.513031,8.213152,-4.106576,100.00
5.000,15.471966,15.471966,8.201226,-4.100613,100.00
5.010,15.430960,15.430960,8.189313,-4.094657,100.00
5.020,15.390013,15.390013,8.177412,-4.088706,100.00
5.030,15.349126,15.349126,8.165523,-4.082762,100.00
5.040,15.308298,15.308298,8.238743,-4.119371,100.00
5.050,15.267105,15.267105,8.226606,-4.113303,100.00
5.060,15.225972,15.225972,8.214481,-4.107241,100.00
5.070,15.184899,15.184899,8.202370,-4.101185,100.00
5.080,15.143887,15.143887,8.190270,-4.095135,100.00
5.090,15.102936,15.102936,8.178183,-4.089092,100.00
5.100,15.062045,15.062045,8.166109,-4.083055,100.00
5.110,15.021214,15.021214,8.154047,-4.077024,100.00
5.120,14.980444,14.980444,8.225409,-4.112705,100.00
5.130,14.939317,14.939317,8.213101,-4.106551,100.00
5.140,14.898252,14.898252,8.200806,-4.100403,100.00
5.150,14.857248,14.857248,8.188524,-4.094262,100.00
5.160,14.816305,14.816305,8.176255,-4.088128,100.00
5.170,14.775424,14.775424,8.163999,-4.081999,100.00
5.180,14.734604,14.734604,8.151755,-4.075878,100.00
5.190,14.693845,14.693845,8.139525,-4.069762,100.00
5.200,14.653147,14.653147,8.209067,-4.104533,100.00
5.210,14.612102,14.612102,8.196592,-4.098296,100.00
5.220,14.571119,14.571119,8.184131,-4.092065,100.00
5.230,14.530198,14.530198,8.171683,-4.085841,100.00
5.240,14.489340,14.489340,8.159248,-4.079624,100.00
5.250,14.448544,14.448544,8.146826,-4.073413,100.00
5.260,14.407810,14.407810,8.134418,-4.067209,100.00
5.270,14.367138,14.367138,8.122023,-4.061011,100.00
5.280,14.326527,14.326527,8.189781,-4.094891,100.00
5.290,14.285579,14.285579,8.177144,-4.088572,100.00
5.300,14.244693,14.244693,8.164521,-4.082260,100.00
5.310,14.203870,14.203870,8.151911,-4.075956,100.00
5.320,14.163111,14.163111,8.139315,-4.069657,100.00
5.330,14.122414,14.122414,8.126732,-4.063366,100.00
5.340,14.081780,14.081780,8.114163,-4.057082,100.00
5.350,14.041210,14.041210,8.101608,-4.050804,100.00
5.360,14.000702,14.000702,8.167620,-4.083810,100.00
5.370,13.959863,13.959863,8.154825,-4.077412,100.00
5.380,13.919089,13.919089,8.142043,-4.071022,100.00
5.390,13.878379,13.878379,8.129276,-4.064638,100.00
5.400,13.837733,13.837733,8.116523,-4.058261,100.00
5.410,13.797150,13.797150,8.103784,-4.051892,100.00
5.420,13.756631,13.756631,8.091058,-4.045529,100.00
5.430,13.716176,13.716176,8.078347,-4.039174,100.00
5.440,13.675784,13.675784,8.142648,-4.071324,100.00
5.450,13.635071,13.635071,8.129699,-4.064850,100.00
5.460,13.594422,13.594422,8.116764,-4.058382,100.00
5.470,13.553839,13.553839,8.103844,-4.051922,100.00
5.480,13.513319,13.513319,8.090938,-4.045469,100.00
5.490,13.472865,13.472865,8.078047,-4.039023,100.00
5.500,13.432474,13.432474,8.065170,-4.032585,100.00
5.510,13.392149,13.392149,8.052307,-4.026153,100.00
5.520,13.351887,13.351887,8.114932,-4.057466,100.00
5.530,13.311312,13.311312,8.101833,-4.050917,100.00
5.540,13.270803,13.270803,8.088750,-4.044375,100.00
5.550,13.230359,13.230359,8.075681,-4.037840,100.00
5.560,13.189981,13.189981,8.062627,-4.031313,100.00
5.570,13.149668,13.149668,8.049587,-4.024794,100.00
5.580,13.109420,13.109420,8.036563,-4.018281,100.00
5.590,13.069237,13.069237,8.023553,-4.011776,100.00
5.600,13.029119,13.029119,8.084537,-4.042268,100.00
5.610,12.988697,12.988697,8.071293,-4.035647,100.00
5.620,12.948340,12.948340,8.058065,-4.029033,100.00
5.630,12.908050,12.908050,8.044852,-4.022426,100.00
5.640,12.867826,12.867826,8.031654,-4.015827,100.00
5.650,12.827667,12.827667,8.018472,-4.009236,100.00
5.660,12.787575,12.787575,8.005304,-4.002652,100.00
5.670,12.747549,12.747549,7.992151,-3.996076,100.00
5.680,12.707588,12.707588,8.051528,-4.025764,100.00
5.690,12.667330,12.667330,8.038144,-4.019072,100.00
5.700,12.627139,12.627139,8.024776,-4.012388,100.00
5.710,12.587016,12.587016,8.011424,-4.005712,100.00
5.720,12.546958,12.546958,7.998086,-3.999043,100.00
5.730,12.506968,12.506968,7.984765,-3.992382,100.00
5.740,12.467044,12.467044,7.971459,-3.985729,100.00
5.750,12.427187,12.427187,7.958168,-3.979084,100.00
5.760,12.387396,12.387396,8.015971,-4.007985,100.00
5.770,12.347316,12.347316,8.002451,-4.001226,100.00
5.780,12.307304,12.307304,7.988948,-3.994474,100.00
5.790,12.267359,12.267359,7.975460,-3.987730,100.00
5.800,12.227482,12.227482,7.961989,-3.980994,100.00
5.810,12.187672,12.187672,7.948533,-3.974266,100.00
5.820,12.147929,12.147929,7.935092,-3.967546,100.00
5.830,12.108254,12.108254,7.921668,-3.960834,100.00
5.840,12.068645,12.068645,7.977930,-3.988965,100.00
5.850,12.028756,12.028756,7.964280,-3.982140,100.00
5.860,11.988934,11.988934,7.950646,-3.975323,100.00
5.870,11.949181,11.949181,7.937027,-3.968514,100.00
5.880,11.909496,11.909496,7.923426,-3.961713,100.00
5.890,11.869879,11.869879,7.909840,-3.954920,100.00
5.900,11.830330,11.830330,7.896270,-3.948135,100.00
5.910,11.790848,11.790848,7.882717,-3.941359,100.00
5.920,11.751435,11.751435,7.937471,-3.968736,100.00
5.930,11.711747,11.711747,7.923694,-3.961847,100.00
5.940,11.672129,11.672129,7.909934,-3.954967,100.00
5.950,11.632579,11.632579,7.896190,-3.948095,100.00
5.960,11.593098,11.593098,7.882462,-3.941231,100.00
5.970,11.553686,11.553686,7.868751,-3.934376,100.00
5.980,11.514342,11.514342,7.855057,-3.927529,100.00
5.990,11.475067,11.475067,7.841379,-3.920690,100.00
6.000,11.435860,11.435860,7.894657,-3.947329,100.00
6.010,11.396387,11.396387,7.880758,-3.940379,100.00
6.020,11.356983,11.356983,7.866876,-3.933438,100.00
6.030,11.317649,11.317649,7.853011,-3.926506,100.00
6.040,11.278384,11.278384,7.839163,-3.919581,100.00
6.050,11.239188,11.239188,7.825332,-3.912666,100.00
6.060,11.200061,11.200061,7.811517,-3.905759,100.00
6.070,11.161004,11.161004,7.797720,-3.898860,100.00
6.080,11.122015,11.122015,7.849553,-3.924776,100.00
6.090,11.082767,11.082767,7.835536,-3.917768,100.00
6.100,11.043590,11.043590,7.821537,-3.910769,100.00
6.110,11.004482,11.004482,7.807556,-3.903778,100.00
6.120,10.965444,10.965444,7.793591,-3.896796,100.00
6.130,10.926476,10.926476,7.779644,-3.889822,100.00
6.140,10.887578,10.887578,7.765715,-3.882857,100.00
6.150,10.848749,10.848749,7.751802,-3.875901,100.00
6.160,10.809990,10.809990,7.802221,-3.901111,100.00
6.170,10.770979,10.770979,7.788092,-3.894046,100.00
6.180,10.732039,10.732039,7.773981,-3.886991,100.00
6.190,10.693169,10.693169,7.759888,-3.879944,100.00
6.200,10.654369,10.654369,7.745812,-3.872906,100.00
6.210,10.615640,10.615640,7.731754,-3.865877,100.00
6.220,10.576982,10.576982,7.717713,-3.858856,100.00
6.230,10.538393,10.538393,7.703690,-3.851845,100.00
6.240,10.499875,10.499875,7.752726,-3.876363,100.00
6.250,10.461111,10.461111,7.738489,-3.869244,100.00
6.260,10.422418,10.422418,7.724270,-3.862135,100.00
6.270,10.383797,10.383797,7.710069,-3.855035,100.00
6.280,10.345247,10.345247,7.695887,-3.847943,100.00
6.290,10.306767,10.306767,7.681722,-3.840861,100.00
6.300,10.268359,10.268359,7.667576,-3.833788,100.00
6.310,10.230021,10.230021,7.653447,-3.826723,100.00
6.320,10.191754,10.191754,7.701129,-3.850564,100.00
6.330,10.153248,10.153248,7.686789,-3.843394,100.00
6.340,10.114814,10.114814,7.672467,-3.836234,100.00
6.350,10.076452,10.076452,7.658164,-3.829082,100.00
6.360,10.038161,10.038161,7.643880,-3.821940,100.00
6.370,9.999941,9.999941,7.629613,-3.814807,100.00
6.380,9.961793,9.961793,7.615365,-3.807683,100.00
6.390,9.923717,9.923717,7.601136,-3.800568,100.00
6.400,9.885711,9.885711,7.647493,-3.823747,100.00
6.410,9.847473,9.847473,7.633055,-3.816528,100.00
6.420,9.809308,9.809308,7.618636,-3.809318,100.00
6.430,9.771215,9.771215,7.604235,-3.802117,100.00
6.440,9.733194,9.733194,7.589853,-3.794926,100.00
6.450,9.695245,9.695245,7.575489,-3.787745,100.00
6.460,9.657367,9.657367,7.561145,-3.780572,100.00
6.470,9.619561,9.619561,7.546819,-3.773409,100.00
6.480,9.581827,9.581827,7.591881,-3.795941,100.00
6.490,9.543868,9.543868,7.577349,-3.788675,100.00
6.500,9.505981,9.505981,7.562836,-3.781418,100.00
6.510,9.468167,9.468167,7.548342,-3.774171,100.00
6.520,9.430425,9.430425,7.533868,-3.766934,100.00
6.530,9.392756,9.392756,7.519412,-3.759706,100.00
6.540,9.355159,9.355159,7.504976,-3.752488,100.00
6.550,9.317634,9.317634,7.490558,-3.745279,100.00
6.560,9.280181,9.280181,7.534354,-3.767177,100.00
6.570,9.242509,9.242509,7.519733,-3.759866,100.00
6.580,9.204911,9.204911,7.505131,-3.752566,100.00
6.590,9.167385,9.167385,7.490549,-3.745275,100.00
6.600,9.129932,9.129932,7.475987,-3.737993,100.00
6.610,9.092552,9.092552,7.461443,-3.730722,100.00
6.620,9.055245,9.055245,7.446920,-3.723460,100.00
6.630,9.018011,9.018011,7.432415,-3.716208,100.00
6.640,8.980848,8.980848,7.474972,-3.737486,100.00
6.650,8.943474,8.943474,7.460267,-3.730133,100.00
6.660,8.906172,8.906172,7.445581,-3.722791,100.00
6.670,8.868944,8.868944,7.430916,-3.715458,100.00
6.680,8.831790,8.831790,7.416270,-3.708135,100.00
6.690,8.794708,8.794708,7.401644,-3.700822,100.00
6.700,8.757700,8.757700,7.387038,-3.693519,100.00
6.710,8.720765,8.720765,7.372451,-3.686226,100.00
6.720,8.683903,8.683903,7.413797,-3.706898,100.00
6.730,8.646834,8.646834,7.399012,-3.699506,100.00
6.740,8.609839,8.609839,7.384247,-3.692124,100.00
6.750,8.572918,8.572918,7.369503,-3.684751,100.00
6.760,8.536070,8.536070,7.354779,-3.677389,100.00
6.770,8.499296,8.499296,7.340075,-3.670037,100.00
6.780,8.462596,8.462596,7.325391,-3.662695,100.00
6.790,8.425969,8.425969,7.310727,-3.655363,100.00
6.800,8.389415,8.389415,7.350888,-3.675444,100.00
6.810,8.352661,8.352661,7.336028,-3.668014,100.00
6.820,8.315981,8.315981,7.321189,-3.660595,100.00
6.830,8.279375,8.279375,7.306371,-3.653185,100.00
6.840,8.242843,8.242843,7.291573,-3.645786,100.00
6.850,8.206385,8.206385,7.276795,-3.638398,100.00
6.860,8.170001,8.170001,7.262038,-3.631019,100.00
6.870,8.133691,8.133691,7.247301,-3.623651,100.00
6.880,8.097454,8.097454,7.286305,-3.643152,100.00
6.890,8.061023,8.061023,7.271375,-3.635688,100.00
6.900,8.024666,8.024666,7.256467,-3.628233,100.00
6.910,7.988383,7.988383,7.241579,-3.620789,100.00
6.920,7.952176,7.952176,7.226712,-3.613356,100.00
6.930,7.916042,7.916042,7.211865,-3.605933,100.00
6.940,7.879983,7.879983,7.197040,-3.598520,100.00
6.950,7.843998,7.843998,7.182235,-3.591118,100.00
6.960,7.808086,7.808086,7.220107,-3.610054,100.00
6.970,7.771986,7.771986,7.205112,-3.602556,100.00
6.980,7.735960,7.735960,7.190139,-3.595069,100.00
6.990,7.700010,7.700010,7.175186,-3.587593,100.00
7.000,7.664134,7.664134,7.160255,-3.580127,100.00
7.010,7.628332,7.628332,7.145344,-3.572672,100.00
7.020,7.592606,7.592606,7.130455,-3.565228,100.00
7.030,7.556953,7.556953,7.115587,-3.557793,100.00
7.040,7.521375,7.521375,7.152353,-3.576177,100.00
7.050,7.485614,7.485614,7.137298,-3.568649,100.00
7.060,7.449927,7.449927,7.122264,-3.561132,100.00
7.070,7.414316,7.414316,7.107251,-3.553625,100.00
7.080,7.378780,7.378780,7.092260,-3.546130,100.00
7.090,7.343318,7.343318,7.077290,-3.538645,100.00
7.100,7.307932,7.307932,7.062342,-3.531171,100.00
7.110,7.272620,7.272620,7.047415,-3.523708,100.00
7.120,7.237383,7.237383,7.083101,-3.541551,100.00
7.130,7.201968,7.201968,7.067989,-3.533995,100.00
7.140,7.166628,7.166628,7.052900,-3.526450,100.00
7.150,7.131363,7.131363,7.037832,-3.518916,100.00
7.160,7.096174,7.096174,7.022785,-3.511393,100.00
7.170,7.061060,7.061060,7.007761,-3.503880,100.00
7.180,7.026021,7.026021,6.992758,-3.496379,100.00
7.190,6.991057,6.991057,6.977777,-3.488889,100.00
7.200,6.956169,6.956169,7.012408,-3.506204,100.00
7.210,6.921106,6.921106,6.997245,-3.498622,100.00
7.220,6.886120,6.886120,6.982104,-3.491052,100.00
7.230,6.851210,6.851210,6.966985,-3.483493,100.00
7.240,6.816375,6.816375,6.951889,-3.475944,100.00
7.250,6.781615,6.781615,6.936814,-3.468407,100.00
7.260,6.746931,6.746931,6.921762,-3.460881,100.00
7.270,6.712323,6.712323,6.906731,-3.453366,100.00
7.280,6.677789,6.677789,6.940331,-3.470165,100.00
7.290,6.643087,6.643087,6.925121,-3.462561,100.00
7.300,6.608462,6.608462,6.909934,-3.454967,100.00
7.310,6.573912,6.573912,6.894769,-3.447384,100.00
7.320,6.539438,6.539438,6.879626,-3.439813,100.00
7.330,6.505040,6.505040,6.864506,-3.432253,100.00
7.340,6.470717,6.470717,6.849409,-3.424704,100.00
7.350,6.436470,6.436470,6.834334,-3.417167,100.00
7.360,6.402299,6.402299,6.866926,-3.433463,100.00
7.370,6.367964,6.367964,6.851674,-3.425837,100.00
7.380,6.333706,6.333706,6.836445,-3.418222,100.00
7.390,6.299523,6.299523,6.821238,-3.410619,100.00
7.400,6.265417,6.265417,6.806055,-3.403027,100.00
7.410,6.231387,6.231387,6.790894,-3.395447,100.00
7.420,6.197433,6.197433,6.775756,-3.387878,100.00
7.430,6.163554,6.163554,6.760640,-3.380320,100.00
7.440,6.129751,6.129751,6.792249,-3.396125,100.00
7.450,6.095789,6.095789,6.776960,-3.388480,100.00
7.460,6.061905,6.061905,6.761693,-3.380847,100.00
7.470,6.028096,6.028096,6.746450,-3.373225,100.00
7.480,5.994364,5.994364,6.731230,-3.365615,100.00
7.490,5.960708,5.960708,6.716032,-3.358016,100.00
7.500,5.927127,5.927127,6.700858,-3.350429,100.00
7.510,5.893623,5.893623,6.685707,-3.342853,100.00
7.520,5.860195,5.860195,6.716356,-3.358178,100.00
7.530,5.826613,5.826613,6.701033,-3.350517,100.00
7.540,5.793108,5.793108,6.685734,-3.342867,100.00
7.550,5.759679,5.759679,6.670458,-3.335229,100.00
7.560,5.726327,5.726327,6.655206,-3.327603,100.00
7.570,5.693051,5.693051,6.639977,-3.319988,100.00
7.580,5.659851,5.659851,6.624771,-3.312385,100.00
7.590,5.626727,5.626727,6.609588,-3.304794,100.00
7.600,5.593679,5.593679,6.639300,-3.319650,100.00
7.610,5.560483,5.560483,6.623949,-3.311974,100.00
7.620,5.527363,5.527363,6.608621,-3.304311,100.00
7.630,5.494320,5.494320,6.593317,-3.296659,100.00
7.640,5.461353,5.461353,6.578037,-3.289019,100.00
7.650,5.428463,5.428463,6.562781,-3.281390,100.00
7.660,5.395649,5.395649,6.547548,-3.273774,100.00
7.670,5.362911,5.362911,6.532339,-3.266169,100.00
7.680,5.330250,5.330250,6.561135,-3.280568,100.00
7.690,5.297444,5.297444,6.545760,-3.272880,100.00
7.700,5.264715,5.264715,6.530409,-3.265204,100.00
7.710,5.232063,5.232063,6.515081,-3.257541,100.00
7.720,5.199488,5.199488,6.499778,-3.249889,100.00
7.730,5.166989,5.166989,6.484499,-3.242249,100.00
7.740,5.134566,5.134566,6.469244,-3.234622,100.00
7.750,5.102220,5.102220,6.454012,-3.227006,100.00
7.760,5.069950,5.069950,6.481916,-3.240958,100.00
7.770,5.037540,5.037540,6.466521,-3.233260,100.00
7.780,5.005208,5.005208,6.451150,-3.225575,100.00
7.790,4.972952,4.972952,6.435804,-3.217902,100.00
7.800,4.940773,4.940773,6.420482,-3.210241,100.00
7.810,4.908671,4.908671,6.405184,-3.202592,100.00
7.820,4.876645,4.876645,6.389910,-3.194955,100.00
7.830,4.844695,4.844695,6.374661,-3.187331,100.00
7.840,4.812822,4.812822,6.401693,-3.200847,100.00
7.850,4.780813,4.780813,6.386283,-3.193142,100.00
7.860,4.748882,4.748882,6.370898,-3.185449,100.00
7.870,4.717027,4.717027,6.355537,-3.177768,100.00
7.880,4.685250,4.685250,6.340200,-3.170100,100.00
7.890,4.653549,4.653549,6.324888,-3.162444,100.00
7.900,4.621924,4.621924,6.309601,-3.154800,100.00
7.910,4.590376,4.590376,6.294338,-3.147169,100.00
7.920,4.558905,4.558905,6.320520,-3.160260,100.00
7.930,4.527302,4.527302,6.305099,-3.152550,100.00
7.940,4.495777,4.495777,6.289703,-3.144852,100.00
7.950,4.464328,4.464328,6.274332,-3.137166,100.00
7.960,4.432956,4.432956,6.258985,-3.129493,100.00
7.970,4.401661,4.401661,6.243664,-3.121832,100.00
7.980,4.370443,4.370443,6.228367,-3.114183,100.00
7.990,4.339301,4.339301,6.213095,-3.106547,100.00
8.000,4.308236,4.308236,6.238448,-3.119224,100.00
8.010,4.277044,4.277044,6.223020,-3.111510,100.00
8.020,4.245929,4.245929,6.207618,-3.103809,100.00
8.030,4.214890,4.214890,6.192241,-3.096120,100.00
8.040,4.183929,4.183929,6.176888,-3.088444,100.00
8.050,4.153045,4.153045,6.161561,-3.080781,100.00
8.060,4.122237,4.122237,6.146259,-3.073130,100.00
8.070,4.091506,4.091506,6.130982,-3.065491,100.00
8.080,4.060851,4.060851,6.155527,-3.077764,100.00
8.090,4.030073,4.030073,6.140097,-3.070049,100.00
8.100,3.999373,3.999373,6.124693,-3.062346,100.00
8.110,3.968749,3.968749,6.109314,-3.054657,100.00
8.120,3.938203,3.938203,6.093960,-3.046980,100.00
8.130,3.907733,3.907733,6.078632,-3.039316,100.00
8.140,3.877340,3.877340,6.063329,-3.031664,100.00
8.150,3.847023,3.847023,6.048051,-3.024025,100.00
8.160,3.816783,3.816783,6.071807,-3.035904,100.00
8.170,3.786424,3.786424,6.056379,-3.028190,100.00
8.180,3.756142,3.756142,6.040977,-3.020488,100.00
8.190,3.725937,3.725937,6.025600,-3.012800,100.00
8.200,3.695809,3.695809,6.010249,-3.005125,100.00
8.210,3.665758,3.665758,5.994924,-2.997462,100.00
8.220,3.635783,3.635783,5.979625,-2.989812,100.00
8.230,3.605885,3.605885,5.964350,-2.982175,100.00
8.240,3.576063,3.576063,5.987338,-2.993669,100.00
8.250,3.546126,3.546126,5.971916,-2.985958,100.00
8.260,3.516267,3.516267,5.956520,-2.978260,100.00
8.270,3.486484,3.486484,5.941150,-2.970575,100.00
8.280,3.456779,3.456779,5.925806,-2.962903,100.00
8.290,3.427150,3.427150,5.910488,-2.955244,100.00
8.300,3.397597,3.397597,5.895196,-2.947598,100.00
8.310,3.368121,3.368121,5.879930,-2.939965,100.00
8.320,3.338721,3.338721,5.902168,-2.951084,100.00
8.330,3.309211,3.309211,5.886756,-2.943378,100.00
8.340,3.279777,3.279777,5.871371,-2.935686,100.00
8.350,3.250420,3.250420,5.856012,-2.928006,100.00
8.360,3.221140,3.221140,5.840679,-2.920339,100.00
8.370,3.191937,3.191937,5.825372,-2.912686,100.00
8.380,3.162810,3.162810,5.810091,-2.905046,100.00
8.390,3.133759,3.133759,5.794837,-2.897418,100.00
8.400,3.104785,3.104785,5.816345,-2.908173,100.00
8.410,3.075703,3.075703,5.800948,-2.900474,100.00
8.420,3.046699,3.046699,5.785577,-2.892789,100.00
8.430,3.017771,3.017771,5.770233,-2.885116,100.00
8.440,2.988920,2.988920,5.754915,-2.877457,100.00
8.450,2.960145,2.960145,5.739623,-2.869812,100.00
8.460,2.931447,2.931447,5.724358,-2.862179,100.00
8.470,2.902825,2.902825,5.709120,-2.854560,100.00
8.480,2.874279,2.874279,5.729917,-2.864958,100.00
8.490,2.845630,2.845630,5.714538,-2.857269,100.00
8.500,2.817057,2.817057,5.699186,-2.849593,100.00
8.510,2.788561,2.788561,5.683860,-2.841930,100.00
8.520,2.760142,2.760142,5.668561,-2.834281,100.00
8.530,2.731799,2.731799,5.653289,-2.826645,100.00
8.540,2.703533,2.703533,5.638044,-2.819022,100.00
8.550,2.675342,2.675342,5.622825,-2.811412,100.00
8.560,2.647228,2.647228,5.642929,-2.821464,100.00
8.570,2.619014,2.619014,5.627572,-2.813786,100.00
8.580,2.590876,2.590876,5.612243,-2.806121,100.00
8.590,2.562815,2.562815,5.596940,-2.798470,100.00
8.600,2.534830,2.534830,5.581665,-2.790832,100.00
8.610,2.506922,2.506922,5.566416,-2.783208,100.00
8.620,2.479090,2.479090,5.551194,-2.775597,100.00
8.630,2.451334,2.451334,5.535999,-2.767999,100.00
8.640,2.423654,2.423654,5.555428,-2.777714,100.00
8.650,2.395876,2.395876,5.540098,-2.770049,100.00
8.660,2.368176,2.368176,5.524795,-2.762397,100.00
8.670,2.340552,2.340552,5.509519,-2.754759,100.00
8.680,2.313004,2.313004,5.494270,-2.747135,100.00
8.690,2.285533,2.285533,5.479049,-2.739524,100.00
8.700,2.258138,2.258138,5.463854,-2.731927,100.00
8.710,2.230818,2.230818,5.448687,-2.724343,100.00
8.720,2.203575,2.203575,5.467459,-2.733729,100.00
8.730,2.176238,2.176238,5.452159,-2.726079,100.00
8.740,2.148977,2.148977,5.436886,-2.718443,100.00
8.750,2.121793,2.121793,5.421641,-2.710821,100.00
8.760,2.094684,2.094684,5.406423,-2.703212,100.00
8.770,2.067652,2.067652,5.391233,-2.695616,100.00
8.780,2.040696,2.040696,5.376070,-2.688035,100.00
8.790,2.013816,2.013816,5.360934,-2.680467,100.00
8.800,1.987011,1.987011,5.379066,-2.689533,100.00
8.810,1.960116,1.960116,5.363800,-2.681900,100.00
8.820,1.933297,1.933297,5.348562,-2.674281,100.00
8.830,1.906554,1.906554,5.333351,-2.666675,100.00
8.840,1.879887,1.879887,5.318168,-2.659084,100.00
8.850,1.853296,1.853296,5.303012,-2.651506,100.00
8.860,1.826781,1.826781,5.287884,-2.643942,100.00
8.870,1.800342,1.800342,5.272784,-2.636392,100.00
8.880,1.773978,1.773978,5.290293,-2.645147,100.00
8.890,1.747526,1.747526,5.275065,-2.637532,100.00
8.900,1.721151,1.721151,5.259865,-2.629932,100.00
8.910,1.694852,1.694852,5.244692,-2.622346,100.00
8.920,1.668628,1.668628,5.229547,-2.614774,100.00
8.930,1.642481,1.642481,5.214430,-2.607215,100.00
8.940,1.616408,1.616408,5.199341,-2.599671,100.00
8.950,1.590412,1.590412,5.184280,-2.592140,100.00
8.960,1.564490,1.564490,5.201183,-2.600592,100.00
8.970,1.538484,1.538484,5.185996,-2.592998,100.00
8.980,1.512554,1.512554,5.170838,-2.585419,100.00
8.990,1.486700,1.486700,5.155707,-2.577854,100.00
9.000,1.460922,1.460922,5.140605,-2.570302,100.00
9.010,1.435219,1.435219,5.125530,-2.562765,100.00
9.020,1.409591,1.409591,5.110483,-2.555242,100.00
9.030,1.384039,1.384039,5.095464,-2.547732,100.00
9.040,1.358561,1.358561,5.111779,-2.555889,100.00
9.050,1.333002,1.333002,5.096637,-2.548318,100.00
9.060,1.307519,1.307519,5.081524,-2.540762,100.00
9.070,1.282112,1.282112,5.066438,-2.533219,100.00
9.080,1.256779,1.256779,5.051382,-2.525691,100.00
9.090,1.231522,1.231522,5.036353,-2.518176,100.00
9.100,1.206341,1.206341,5.021352,-2.510676,100.00
9.110,1.181234,1.181234,5.006380,-2.503190,100.00
9.120,1.156202,1.156202,5.022121,-2.511060,100.00
9.130,1.131091,1.131091,5.007028,-2.503514,100.00
9.140,1.106056,1.106056,4.991963,-2.495982,100.00
9.150,1.081097,1.081097,4.976927,-2.488464,100.00
9.160,1.056212,1.056212,4.961920,-2.480960,100.00
9.170,1.031402,1.031402,4.946940,-2.473470,100.00
9.180,1.006668,1.006668,4.931990,-2.465995,100.00
9.190,0.982008,0.982008,4.917067,-2.458533,100.00
9.200,0.957422,0.957422,4.932250,-2.466125,100.00
9.210,0.932761,0.932761,4.917209,-2.458605,100.00
9.220,0.908175,0.908175,4.902197,-2.451099,100.00
9.230,0.883664,0.883664,4.887214,-2.443607,100.00
9.240,0.859228,0.859228,4.872259,-2.436130,100.00
9.250,0.834867,0.834867,4.857333,-2.428667,100.00
9.260,0.810580,0.810580,4.842435,-2.421218,100.00
9.270,0.786368,0.786368,4.827566,-2.413783,100.00
9.280,0.762230,0.762230,4.842207,-2.421104,100.00
9.290,0.738019,0.738019,4.827222,-2.413611,100.00
9.300,0.713883,0.713883,4.812266,-2.406133,100.00
9.310,0.689821,0.689821,4.797339,-2.398670,100.00
9.320,0.665835,0.665835,4.782440,-2.391220,100.00
9.330,0.641923,0.641923,4.767571,-2.383785,100.00
9.340,0.618085,0.618085,4.752730,-2.376365,100.00
9.350,0.594321,0.594321,4.737917,-2.368959,100.00
9.360,0.570632,0.570632,4.752032,-2.376016,100.00
9.370,0.546871,0.546871,4.737106,-2.368553,100.00
9.380,0.523186,0.523186,4.722209,-2.361104,100.00
9.390,0.499575,0.499575,4.707341,-2.353671,100.00
9.400,0.476038,0.476038,4.692502,-2.346251,100.00
9.410,0.452576,0.452576,4.677692,-2.338846,100.00
9.420,0.429187,0.429187,4.662911,-2.331456,100.00
9.430,0.405873,0.405873,4.648159,-2.324079,100.00
9.440,0.382632,0.382632,4.661761,-2.330881,100.00
9.450,0.359323,0.359323,4.646898,-2.323449,100.00
9.460,0.336088,0.336088,4.632064,-2.316032,100.00
9.470,0.312928,0.312928,4.617259,-2.308629,100.00
9.480,0.289842,0.289842,4.602483,-2.301241,100.00
9.490,0.266829,0.266829,4.587736,-2.293868,100.00
9.500,0.243891,0.243891,4.573018,-2.286509,100.00
9.510,0.221026,0.221026,4.558329,-2.279165,100.00
