# Primal Logic + MotorHandPro Integration
# Combined control system output
t,state,primal_control,throttle,psi,gamma,Ec,comfort
0.850,29.291373,-1.481768,109,29.306191,-1.481768,2.963536,100.00
0.860,29.276560,-1.481337,109,29.291373,-1.481337,2.962673,100.00
0.870,29.261751,-1.480905,109,29.276560,-1.480905,2.961810,100.00
0.880,29.245742,-1.600852,107,29.261751,-1.600852,3.201703,100.00
0.890,29.229739,-1.600348,107,29.245742,-1.600348,3.200697,100.00
0.900,29.213740,-1.599845,107,29.229739,-1.599845,3.199690,100.00
0.910,29.197747,-1.599342,107,29.213740,-1.599342,3.198684,100.00
0.920,29.181759,-1.598839,107,29.197747,-1.598839,3.197678,100.00
0.930,29.165775,-1.598336,107,29.181759,-1.598336,3.196672,100.00
0.940,29.149797,-1.597833,107,29.165775,-1.597833,3.195666,100.00
0.950,29.133824,-1.597330,107,29.149797,-1.597330,3.194661,100.00
0.960,29.116675,-1.714822,106,29.133824,-1.714822,3.429644,100.00
0.970,29.099533,-1.714243,106,29.116675,-1.714243,3.428485,100.00
0.980,29.082396,-1.713664,106,29.099533,-1.713664,3.427327,100.00
0.990,29.065266,-1.713085,106,29.082396,-1.713085,3.426169,100.00
1.000,29.048141,-1.712506,106,29.065266,-1.712506,3.425012,100.00
1.010,29.031021,-1.711927,106,29.048141,-1.711927,3.423855,100.00
1.020,29.013908,-1.711349,106,29.031021,-1.711349,3.422698,100.00
1.030,28.996800,-1.710771,106,29.013908,-1.710771,3.421541,100.00
1.040,28.978542,-1.825850,104,28.996800,-1.825850,3.651700,100.00
1.050,28.960290,-1.825191,104,28.978542,-1.825191,3.650382,100.00
1.060,28.942044,-1.824532,104,28.960290,-1.824532,3.649065,100.00
1.070,28.923806,-1.823874,104,28.942044,-1.823874,3.647747,100.00
1.080,28.905573,-1.823215,104,28.923806,-1.823215,3.646430,100.00
1.090,28.887348,-1.822557,104,28.905573,-1.822557,3.645114,100.00
1.100,28.869129,-1.821899,104,28.887348,-1.821899,3.643797,100.00
