# Primal Logic + MotorHandPro Integration
# Combined control system output
t,state,primal_control,throttle,psi,gamma,Ec,comfort
3.690,20.758690,-3.965955,77,20.798349,-3.965955,7.931909,100.00
3.700,20.719074,-3.961621,77,20.758690,-3.961621,7.923242,100.00
3.710,20.679501,-3.957291,77,20.719074,-3.957291,7.914581,100.00
3.720,20.639971,-3.952963,77,20.679501,-3.952963,7.905927,100.00
3.730,20.600485,-3.948640,77,20.639971,-3.948640,7.897280,100.00
3.740,20.561041,-3.944319,77,20.600485,-3.944319,7.888639,100.00
3.750,20.521641,-3.940002,77,20.561041,-3.940002,7.880005,100.00
3.760,20.481699,-3.994283,77,20.521641,-3.994283,7.988566,100.00
3.770,20.441800,-3.989832,77,20.481699,-3.989832,7.979664,100.00
3.780,20.401946,-3.985385,77,20.441800,-3.985385,7.970769,100.00
3.790,20.362137,-3.980941,77,20.401946,-3.980941,7.961881,100.00
3.800,20.322372,-3.976500,77,20.362137,-3.976500,7.953000,100.00
3.810,20.282651,-3.972063,77,20.322372,-3.972063,7.944127,100.00
3.820,20.242975,-3.967630,77,20.282651,-3.967630,7.935260,100.00
3.830,20.203343,-3.963200,77,20.242975,-3.963200,7.926400,100.00
3.840,20.163181,-4.016208,76,20.203343,-4.016208,8.032415,100.00
3.850,20.123065,-4.011644,76,20.163181,-4.011644,8.023288,100.00
3.860,20.082994,-4.007084,76,20.123065,-4.007084,8.014168,100.00
3.870,20.042968,-4.002528,76,20.082994,-4.002528,8.005055,100.00
3.880,20.002989,-3.997975,77,20.042968,-3.997975,7.995950,100.00
3.890,19.963054,-3.993426,77,20.002989,-3.993426,7.986852,100.00
3.900,19.923166,-3.988881,77,19.963054,-3.988881,7.977762,100.00
3.910,19.883322,-3.984339,77,19.923166,-3.984339,7.968678,100.00
3.920,19.842961,-4.036098,76,19.883322,-4.036098,8.072196,100.00
3.930,19.802647,-4.031423,76,19.842961,-4.031423,8.062846,100.00
3.940,19.762380,-4.026752,76,19.802647,-4.026752,8.053503,100.00
3.950,19.722159,-4.022084,76,19.762380,-4.022084,8.044169,100.00
3.960,19.681984,-4.017421,76,19.722159,-4.017421,8.034841,100.00
3.970,19.641857,-4.012761,76,19.681984,-4.012761,8.025522,100.00
3.980,19.601776,-4.008105,76,19.641857,-4.008105,8.016210,100.00
3.990,19.561741,-4.003453,76,19.601776,-4.003453,8.006906,100.00
4.000,19.521201,-4.053987,76,19.561741,-4.053987,8.107973,100.00
4.010,19.480709,-4.049201,76,19.521201,-4.049201,8.098403,100.00
4.020,19.440265,-4.044420,76,19.480709,-4.044420,8.088840,100.00
4.030,19.399869,-4.039643,76,19.440265,-4.039643,8.079286,100.00
4.040,19.359520,-4.034870,76,19.399869,-4.034870,8.069740,100.00
4.050,19.319219,-4.030101,76,19.359520,-4.030101,8.060201,100.00
4.060,19.278966,-4.025335,76,19.319219,-4.025335,8.050671,100.00
4.070,19.238760,-4.020574,76,19.278966,-4.020574,8.041148,100.00
4.080,19.198061,-4.069906,76,19.238760,-4.069906,8.139812,100.00
4.090,19.157411,-4.065012,76,19.198061,-4.065012,8.130024,100.00
4.100,19.116810,-4.060122,76,19.157411,-4.060122,8.120245,100.00
4.110,19.076257,-4.055237,76,19.116810,-4.055237,8.110473,100.00
4.120,19.035754,-4.050355,76,19.076257,-4.050355,8.100711,100.00
4.130,18.995299,-4.045478,76,19.035754,-4.045478,8.090956,100.00
4.140,18.954893,-4.040605,76,18.995299,-4.040605,8.081210,100.00
4.150,18.914535,-4.035736,76,18.954893,-4.035736,8.071472,100.00
4.160,18.873697,-4.083889,75,18.914535,-4.083889,8.167778,100.00
4.170,18.832908,-4.078888,75,18.873697,-4.078888,8.157776,100.00
4.180,18.792169,-4.073891,76,18.832908,-4.073891,8.147782,100.00
4.190,18.751480,-4.068899,76,18.792169,-4.068899,8.137797,100.00
4.200,18.710841,-4.063910,76,18.751480,-4.063910,8.127821,100.00
4.210,18.670251,-4.058926,76,18.710841,-4.058926,8.117853,100.00
4.220,18.629712,-4.053947,76,18.670251,-4.053947,8.107894,100.00
4.230,18.589222,-4.048971,76,18.629712,-4.048971,8.097943,100.00
4.240,18.548263,-4.095969,75,18.589222,-4.095969,8.191938,100.00
4.250,18.507354,-4.090862,75,18.548263,-4.090862,8.181724,100.00
4.260,18.466496,-4.085759,75,18.507354,-4.085759,8.171519,100.00
4.270,18.425690,-4.080661,75,18.466496,-4.080661,8.161323,100.00
4.280,18.384934,-4.075568,76,18.425690,-4.075568,8.151136,100.00
4.290,18.344229,-4.070479,76,18.384934,-4.070479,8.140958,100.00
4.300,18.303575,-4.065394,76,18.344229,-4.065394,8.130789,100.00
4.310,18.262972,-4.060314,76,18.303575,-4.060314,8.120629,100.00
4.320,18.221910,-4.106178,75,18.262972,-4.106178,8.212356,100.00
4.330,18.180901,-4.100967,75,18.221910,-4.100967,8.201934,100.00
4.340,18.139943,-4.095760,75,18.180901,-4.095760,8.191521,100.00
4.350,18.099038,-4.090559,75,18.139943,-4.090559,8.181117,100.00
4.360,18.058184,-4.085361,75,18.099038,-4.085361,8.170723,100.00
4.370,18.017382,-4.080169,75,18.058184,-4.080169,8.160338,100.00
4.380,17.976632,-4.074981,76,18.017382,-4.074981,8.149962,100.00
4.390,17.935934,-4.069798,76,17.976632,-4.069798,8.139596,100.00
4.400,17.894789,-4.114550,75,17.935934,-4.114550,8.229100,100.00
4.410,17.853697,-4.109236,75,17.894789,-4.109236,8.218473,100.00
4.420,17.812657,-4.103927,75,17.853697,-4.103927,8.207855,100.00
4.430,17.771671,-4.098623,75,17.812657,-4.098623,8.197247,100.00
4.440,17.730738,-4.093324,75,17.771671,-4.093324,8.186648,100.00
4.450,17.689858,-4.088030,75,17.730738,-4.088030,8.176060,100.00
4.460,17.649030,-4.082740,75,17.689858,-4.082740,8.165481,100.00
4.470,17.608256,-4.077456,76,17.649030,-4.077456,8.154911,100.00
4.480,17.567044,-4.121118,75,17.608256,-4.121118,8.242235,100.00
4.490,17.525887,-4.115703,75,17.567044,-4.115703,8.231406,100.00
4.500,17.484784,-4.110294,75,17.525887,-4.110294,8.220587,100.00
4.510,17.443736,-4.104889,75,17.484784,-4.104889,8.209778,100.00
4.520,17.402741,-4.099490,75,17.443736,-4.099490,8.198979,100.00
4.530,17.361800,-4.094095,75,17.402741,-4.094095,8.188190,100.00
4.540,17.320913,-4.088706,75,17.361800,-4.088706,8.177411,100.00
4.550,17.280079,-4.083321,75,17.320913,-4.083321,8.166642,100.00
4.560,17.238820,-4.125915,75,17.280079,-4.125915,8.251829,100.00
4.570,17.197616,-4.120401,75,17.238820,-4.120401,8.240802,100.00
4.580,17.156467,-4.114892,75,17.197616,-4.114892,8.229785,100.00
4.590,17.115373,-4.109389,75,17.156467,-4.109389,8.218778,100.00
4.600,17.074335,-4.103891,75,17.115373,-4.103891,8.207782,100.00
4.610,17.033351,-4.098398,75,17.074335,-4.098398,8.196797,100.00
4.620,16.992421,-4.092911,75,17.033351,-4.092911,8.185821,100.00
4.630,16.951547,-4.087428,75,16.992421,-4.087428,8.174856,100.00
4.640,16.910257,-4.128974,75,16.951547,-4.128974,8.257947,100.00
4.650,16.869024,-4.123363,75,16.910257,-4.123363,8.246726,100.00
4.660,16.827846,-4.117757,75,16.869024,-4.117757,8.235515,100.00
4.670,16.786725,-4.112157,75,16.827846,-4.112157,8.224314,100.00
4.680,16.745659,-4.106562,75,16.786725,-4.106562,8.213125,100.00
4.690,16.704649,-4.100973,75,16.745659,-4.100973,8.201946,100.00
4.700,16.663695,-4.095389,75,16.704649,-4.095389,8.190778,100.00
4.710,16.622797,-4.089810,75,16.663695,-4.089810,8.179620,100.00
4.720,16.581494,-4.130329,75,16.622797,-4.130329,8.260657,100.00
4.730,16.540248,-4.124622,75,16.581494,-4.124622,8.249244,100.00
4.740,16.499059,-4.118921,75,16.540248,-4.118921,8.237843,100.00
4.750,16.457926,-4.113226,75,16.499059,-4.113226,8.226452,100.00
4.760,16.416851,-4.107537,75,16.457926,-4.107537,8.215073,100.00
4.770,16.375832,-4.101852,75,16.416851,-4.101852,8.203705,100.00
4.780,16.334871,-4.096174,75,16.375832,-4.096174,8.192348,100.00
4.790,16.293966,-4.090501,75,16.334871,-4.090501,8.181002,100.00
4.800,16.252666,-4.130012,75,16.293966,-4.130012,8.260025,100.00
4.810,16.211423,-4.124213,75,16.252666,-4.124213,8.248425,100.00
4.820,16.170239,-4.118418,75,16.211423,-4.118418,8.236837,100.00
4.830,16.129113,-4.112630,75,16.170239,-4.112630,8.225260,100.00
4.840,16.088045,-4.106847,75,16.129113,-4.106847,8.213695,100.00
4.850,16.047034,-4.101071,75,16.088045,-4.101071,8.202141,100.00
4.860,16.006081,-4.095299,75,16.047034,-4.095299,8.190599,100.00
4.870,15.965185,-4.089534,75,16.006081,-4.089534,8.179068,100.00
4.880,15.923905,-4.128059,75,15.965185,-4.128059,8.256117,100.00
4.890,15.882683,-4.122167,75,15.923905,-4.122167,8.244334,100.00
4.900,15.841520,-4.116282,75,15.882683,-4.116282,8.232563,100.00
4.910,15.800416,-4.110402,75,15.841520,-4.110402,8.220804,100.00
4.920,15.759371,-4.104529,75,15.800416,-4.104529,8.209057,100.00
4.930,15.718384,-4.098661,75,15.759371,-4.098661,8.197322,100.00
4.940,15.677456,-4.092799,75,15.718384,-4.092799,8.185598,100.00
4.950,15.636587,-4.086943,75,15.677456,-4.086943,8.173886,100.00
4.960,15.595342,-4.124500,75,15.636587,-4.124500,8.249001,100.00
4.970,15.554157,-4.118520,75,15.595342,-4.118520,8.237039,100.00
4.980,15.513031,-4.112545,75,15.554157,-4.112545,8.225089,100.00
4.990,15.471966,-4.106576,75,15.513031,-4.106576,8.213152,100.00
5.000,15.430960,-4.100613,75,15.471966,-4.100613,8.201226,100.00
5.010,15.390013,-4.094657,75,15.430960,-4.094657,8.189313,100.00
5.020,15.349126,-4.088706,75,15.390013,-4.088706,8.177412,100.00
5.030,15.308298,-4.082762,75,15.349126,-4.082762,8.165523,100.00
5.040,15.267105,-4.119371,75,15.308298,-4.119371,8.238743,100.00
5.050,15.225972,-4.113303,75,15.267105,-4.113303,8.226606,100.00
5.060,15.184899,-4.107241,75,15.225972,-4.107241,8.214481,100.00
5.070,15.143887,-4.101185,75,15.184899,-4.101185,8.202370,100.00
5.080,15.102936,-4.095135,75,15.143887,-4.095135,8.190270,100.00
5.090,15.062045,-4.089092,75,15.102936,-4.089092,8.178183,100.00
5.100,15.021214,-4.083055,75,15.062045,-4.083055,8.166109,100.00
5.110,14.980444,-4.077024,76,15.021214,-4.077024,8.154047,100.00
5.120,14.939317,-4.112705,75,14.980444,-4.112705,8.225409,100.00
5.130,14.898252,-4.106551,75,14.939317,-4.106551,8.213101,100.00
5.140,14.857248,-4.100403,75,14.898252,-4.100403,8.200806,100.00
5.150,14.816305,-4.094262,75,14.857248,-4.094262,8.188524,100.00
5.160,14.775424,-4.088128,75,14.816305,-4.088128,8.176255,100.00
5.170,14.734604,-4.081999,75,14.775424,-4.081999,8.163999,100.00
5.180,14.693845,-4.075878,76,14.734604,-4.075878,8.151755,100.00
5.190,14.653147,-4.069762,76,14.693845,-4.069762,8.139525,100.00
5.200,14.612102,-4.104533,75,14.653147,-4.104533,8.209067,100.00
5.210,14.571119,-4.098296,75,14.612102,-4.098296,8.196592,100.00
5.220,14.530198,-4.092065,75,14.571119,-4.092065,8.184131,100.00
5.230,14.489340,-4.085841,75,14.530198,-4.085841,8.171683,100.00
5.240,14.448544,-4.079624,75,14.489340,-4.079624,8.159248,100.00
5.250,14.407810,-4.073413,76,14.448544,-4.073413,8.146826,100.00
5.260,14.367138,-4.067209,76,14.407810,-4.067209,8.134418,100.00
5.270,14.326527,-4.061011,76,14.367138,-4.061011,8.122023,100.00
5.280,14.285579,-4.094891,75,14.326527,-4.094891,8.189781,100.00
5.290,14.244693,-4.088572,75,14.285579,-4.088572,8.177144,100.00
5.300,14.203870,-4.082260,75,14.244693,-4.082260,8.164521,100.00
5.310,14.163111,-4.075956,76,14.203870,-4.075956,8.151911,100.00
5.320,14.122414,-4.069657,76,14.163111,-4.069657,8.139315,100.00
5.330,14.081780,-4.063366,76,14.122414,-4.063366,8.126732,100.00
5.340,14.041210,-4.057082,76,14.081780,-4.057082,8.114163,100.00
5.350,14.000702,-4.050804,76,14.041210,-4.050804,8.101608,100.00
5.360,13.959863,-4.083810,75,14.000702,-4.083810,8.167620,100.00
5.370,13.919089,-4.077412,76,13.959863,-4.077412,8.154825,100.00
5.380,13.878379,-4.071022,76,13.919089,-4.071022,8.142043,100.00
5.390,13.837733,-4.064638,76,13.878379,-4.064638,8.129276,100.00
5.400,13.797150,-4.058261,76,13.837733,-4.058261,8.116523,100.00
5.410,13.756631,-4.051892,76,13.797150,-4.051892,8.103784,100.00
5.420,13.716176,-4.045529,76,13.756631,-4.045529,8.091058,100.00
5.430,13.675784,-4.039174,76,13.716176,-4.039174,8.078347,100.00
5.440,13.635071,-4.071324,76,13.675784,-4.071324,8.142648,100.00
5.450,13.594422,-4.064850,76,13.635071,-4.064850,8.129699,100.00
5.460,13.553839,-4.058382,76,13.594422,-4.058382,8.116764,100.00
5.470,13.513319,-4.051922,76,13.553839,-4.051922,8.103844,100.00
5.480,13.472865,-4.045469,76,13.513319,-4.045469,8.090938,100.00
5.490,13.432474,-4.039023,76,13.472865,-4.039023,8.078047,100.00
5.500,13.392149,-4.032585,76,13.432474,-4.032585,8.065170,100.00
5.510,13.351887,-4.026153,76,13.392149,-4.026153,8.052307,100.00
5.520,13.311312,-4.057466,76,13.351887,-4.057466,8.114932,100.00
5.530,13.270803,-4.050917,76,13.311312,-4.050917,8.101833,100.00
5.540,13.230359,-4.044375,76,13.270803,-4.044375,8.088750,100.00
5.550,13.189981,-4.037840,76,13.230359,-4.037840,8.075681,100.00
5.560,13.149668,-4.031313,76,13.189981,-4.031313,8.062627,100.00
5.570,13.109420,-4.024794,76,13.149668,-4.024794,8.049587,100.00
5.580,13.069237,-4.018281,76,13.109420,-4.018281,8.036563,100.00
5.590,13.029119,-4.011776,76,13.069237,-4.011776,8.023553,100.00
5.600,12.988697,-4.042268,76,13.029119,-4.042268,8.084537,100.00
5.610,12.948340,-4.035647,76,12.988697,-4.035647,8.071293,100.00
5.620,12.908050,-4.029033,76,12.948340,-4.029033,8.058065,100.00
5.630,12.867826,-4.022426,76,12.908050,-4.022426,8.044852,100.00
5.640,12.827667,-4.015827,76,12.867826,-4.015827,8.031654,100.00
5.650,12.787575,-4.009236,76,12.827667,-4.009236,8.018472,100.00
5.660,12.747549,-4.002652,76,12.787575,-4.002652,8.005304,100.00
5.670,12.707588,-3.996076,77,12.747549,-3.996076,7.992151,100.00
5.680,12.667330,-4.025764,76,12.707588,-4.025764,8.051528,100.00
5.690,12.627139,-4.019072,76,12.667330,-4.019072,8.038144,100.00
5.700,12.587016,-4.012388,76,12.627139,-4.012388,8.024776,100.00
5.710,12.546958,-4.005712,76,12.587016,-4.005712,8.011424,100.00
5.720,12.506968,-3.999043,77,12.546958,-3.999043,7.998086,100.00
5.730,12.467044,-3.992382,77,12.506968,-3.992382,7.984765,100.00
5.740,12.427187,-3.985729,77,12.467044,-3.985729,7.971459,100.00
5.750,12.387396,-3.979084,77,12.427187,-3.979084,7.958168,100.00
5.760,12.347316,-4.007985,76,12.387396,-4.007985,8.015971,100.00
5.770,12.307304,-4.001226,76,12.347316,-4.001226,8.002451,100.00
5.780,12.267359,-3.994474,77,12.307304,-3.994474,7.988948,100.00
5.790,12.227482,-3.987730,77,12.267359,-3.987730,7.975460,100.00
5.800,12.187672,-3.980994,77,12.227482,-3.980994,7.961989,100.00
5.810,12.147929,-3.974266,77,12.187672,-3.974266,7.948533,100.00
5.820,12.108254,-3.967546,77,12.147929,-3.967546,7.935092,100.00
5.830,12.068645,-3.960834,77,12.108254,-3.960834,7.921668,100.00
5.840,12.028756,-3.988965,77,12.068645,-3.988965,7.977930,100.00
5.850,11.988934,-3.982140,77,12.028756,-3.982140,7.964280,100.00
5.860,11.949181,-3.975323,77,11.988934,-3.975323,7.950646,100.00
5.870,11.909496,-3.968514,77,11.949181,-3.968514,7.937027,100.00
5.880,11.869879,-3.961713,77,11.909496,-3.961713,7.923426,100.00
5.890,11.830330,-3.954920,77,11.869879,-3.954920,7.909840,100.00
5.900,11.790848,-3.948135,77,11.830330,-3.948135,7.896270,100.00
5.910,11.751435,-3.941359,77,11.790848,-3.941359,7.882717,100.00
5.920,11.711747,-3.968736,77,11.751435,-3.968736,7.937471,100.00
5.930,11.672129,-3.961847,77,11.711747,-3.961847,7.923694,100.00
5.940,11.632579,-3.954967,77,11.672129,-3.954967,7.909934,100.00
5.950,11.593098,-3.948095,77,11.632579,-3.948095,7.896190,100.00
5.960,11.553686,-3.941231,77,11.593098,-3.941231,7.882462,100.00
5.970,11.514342,-3.934376,77,11.553686,-3.934376,7.868751,100.00
5.980,11.475067,-3.927529,77,11.514342,-3.927529,7.855057,100.00
5.990,11.435860,-3.920690,78,11.475067,-3.920690,7.841379,100.00
6.000,11.396387,-3.947329,77,11.435860,-3.947329,7.894657,100.00
6.010,11.356983,-3.940379,77,11.396387,-3.940379,7.880758,100.00
6.020,11.317649,-3.933438,77,11.356983,-3.933438,7.866876,100.00
6.030,11.278384,-3.926506,77,11.317649,-3.926506,7.853011,100.00
6.040,11.239188,-3.919581,78,11.278384,-3.919581,7.839163,100.00
6.050,11.200061,-3.912666,78,11.239188,-3.912666,7.825332,100.00
6.060,11.161004,-3.905759,78,11.200061,-3.905759,7.811517,100.00
6.070,11.122015,-3.898860,78,11.161004,-3.898860,7.797720,100.00
6.080,11.082767,-3.924776,77,11.122015,-3.924776,7.849553,100.00
6.090,11.043590,-3.917768,78,11.082767,-3.917768,7.835536,100.00
6.100,11.004482,-3.910769,78,11.043590,-3.910769,7.821537,100.00
6.110,10.965444,-3.903778,78,11.004482,-3.903778,7.807556,100.00
6.120,10.926476,-3.896796,78,10.965444,-3.896796,7.793591,100.00
6.130,10.887578,-3.889822,78,10.926476,-3.889822,7.779644,100.00
6.140,10.848749,-3.882857,78,10.887578,-3.882857,7.765715,100.00
6.150,10.809990,-3.875901,78,10.848749,-3.875901,7.751802,100.00
6.160,10.770979,-3.901111,78,10.809990,-3.901111,7.802221,100.00
6.170,10.732039,-3.894046,78,10.770979,-3.894046,7.788092,100.00
6.180,10.693169,-3.886991,78,10.732039,-3.886991,7.773981,100.00
6.190,10.654369,-3.879944,78,10.693169,-3.879944,7.759888,100.00
6.200,10.615640,-3.872906,78,10.654369,-3.872906,7.745812,100.00
6.210,10.576982,-3.865877,78,10.615640,-3.865877,7.731754,100.00
6.220,10.538393,-3.858856,78,10.576982,-3.858856,7.717713,100.00
6.230,10.499875,-3.851845,78,10.538393,-3.851845,7.703690,100.00
6.240,10.461111,-3.876363,78,10.499875,-3.876363,7.752726,100.00
6.250,10.422418,-3.869244,78,10.461111,-3.869244,7.738489,100.00
6.260,10.383797,-3.862135,78,10.422418,-3.862135,7.724270,100.00
6.270,10.345247,-3.855035,78,10.383797,-3.855035,7.710069,100.00
6.280,10.306767,-3.847943,78,10.345247,-3.847943,7.695887,100.00
6.290,10.268359,-3.840861,79,10.306767,-3.840861,7.681722,100.00
6.300,10.230021,-3.833788,79,10.268359,-3.833788,7.667576,100.00
6.310,10.191754,-3.826723,79,10.230021,-3.826723,7.653447,100.00
6.320,10.153248,-3.850564,78,10.191754,-3.850564,7.701129,100.00
6.330,10.114814,-3.843394,78,10.153248,-3.843394,7.686789,100.00
6.340,10.076452,-3.836234,79,10.114814,-3.836234,7.672467,100.00
6.350,10.038161,-3.829082,79,10.076452,-3.829082,7.658164,100.00
6.360,9.999941,-3.821940,79,10.038161,-3.821940,7.643880,100.00
6.370,9.961793,-3.814807,79,9.999941,-3.814807,7.629613,100.00
6.380,9.923717,-3.807683,79,9.961793,-3.807683,7.615365,100.00
6.390,9.885711,-3.800568,79,9.923717,-3.800568,7.601136,100.00
6.400,9.847473,-3.823747,79,9.885711,-3.823747,7.647493,100.00
6.410,9.809308,-3.816528,79,9.847473,-3.816528,7.633055,100.00
6.420,9.771215,-3.809318,79,9.809308,-3.809318,7.618636,100.00
6.430,9.733194,-3.802117,79,9.771215,-3.802117,7.604235,100.00
6.440,9.695245,-3.794926,79,9.733194,-3.794926,7.589853,100.00
6.450,9.657367,-3.787745,79,9.695245,-3.787745,7.575489,100.00
6.460,9.619561,-3.780572,79,9.657367,-3.780572,7.561145,100.00
6.470,9.581827,-3.773409,79,9.619561,-3.773409,7.546819,100.00
6.480,9.543868,-3.795941,79,9.581827,-3.795941,7.591881,100.00
6.490,9.505981,-3.788675,79,9.543868,-3.788675,7.577349,100.00
6.500,9.468167,-3.781418,79,9.505981,-3.781418,7.562836,100.00
6.510,9.430425,-3.774171,79,9.468167,-3.774171,7.548342,100.00
6.520,9.392756,-3.766934,79,9.430425,-3.766934,7.533868,100.00
6.530,9.355159,-3.759706,80,9.392756,-3.759706,7.519412,100.00
6.540,9.317634,-3.752488,80,9.355159,-3.752488,7.504976,100.00
6.550,9.280181,-3.745279,80,9.317634,-3.745279,7.490558,100.00
6.560,9.242509,-3.767177,79,9.280181,-3.767177,7.534354,100.00
6.570,9.204911,-3.759866,80,9.242509,-3.759866,7.519733,100.00
6.580,9.167385,-3.752566,80,9.204911,-3.752566,7.505131,100.00
6.590,9.129932,-3.745275,80,9.167385,-3.745275,7.490549,100.00
6.600,9.092552,-3.737993,80,9.129932,-3.737993,7.475987,100.00
6.610,9.055245,-3.730722,80,9.092552,-3.730722,7.461443,100.00
6.620,9.018011,-3.723460,80,9.055245,-3.723460,7.446920,100.00
6.630,8.980848,-3.716208,80,9.018011,-3.716208,7.432415,100.00
6.640,8.943474,-3.737486,80,8.980848,-3.737486,7.474972,100.00
6.650,8.906172,-3.730133,80,8.943474,-3.730133,7.460267,100.00
6.660,8.868944,-3.722791,80,8.906172,-3.722791,7.445581,100.00
6.670,8.831790,-3.715458,80,8.868944,-3.715458,7.430916,100.00
6.680,8.794708,-3.708135,80,8.831790,-3.708135,7.416270,100.00
6.690,8.757700,-3.700822,80,8.794708,-3.700822,7.401644,100.00
6.700,8.720765,-3.693519,80,8.757700,-3.693519,7.387038,100.00
6.710,8.683903,-3.686226,81,8.720765,-3.686226,7.372451,100.00
6.720,8.646834,-3.706898,80,8.683903,-3.706898,7.413797,100.00
6.730,8.609839,-3.699506,80,8.646834,-3.699506,7.399012,100.00
6.740,8.572918,-3.692124,80,8.609839,-3.692124,7.384247,100.00
6.750,8.536070,-3.684751,81,8.572918,-3.684751,7.369503,100.00
6.760,8.499296,-3.677389,81,8.536070,-3.677389,7.354779,100.00
6.770,8.462596,-3.670037,81,8.499296,-3.670037,7.340075,100.00
6.780,8.425969,-3.662695,81,8.462596,-3.662695,7.325391,100.00
6.790,8.389415,-3.655363,81,8.425969,-3.655363,7.310727,100.00
6.800,8.352661,-3.675444,81,8.389415,-3.675444,7.350888,100.00
6.810,8.315981,-3.668014,81,8.352661,-3.668014,7.336028,100.00
6.820,8.279375,-3.660595,81,8.315981,-3.660595,7.321189,100.00
6.830,8.242843,-3.653185,81,8.279375,-3.653185,7.306371,100.00
6.840,8.206385,-3.645786,81,8.242843,-3.645786,7.291573,100.00
6.850,8.170001,-3.638398,81,8.206385,-3.638398,7.276795,100.00
6.860,8.133691,-3.631019,81,8.170001,-3.631019,7.262038,100.00
6.870,8.097454,-3.623651,81,8.133691,-3.623651,7.247301,100.00
6.880,8.061023,-3.643152,81,8.097454,-3.643152,7.286305,100.00
6.890,8.024666,-3.635688,81,8.061023,-3.635688,7.271375,100.00
6.900,7.988383,-3.628233,81,8.024666,-3.628233,7.256467,100.00
6.910,7.952176,-3.620789,81,7.988383,-3.620789,7.241579,100.00
6.920,7.916042,-3.613356,81,7.952176,-3.613356,7.226712,100.00
6.930,7.879983,-3.605933,82,7.916042,-3.605933,7.211865,100.00
6.940,7.843998,-3.598520,82,7.879983,-3.598520,7.197040,100.00
6.950,7.808086,-3.591118,82,7.843998,-3.591118,7.182235,100.00
6.960,7.771986,-3.610054,81,7.808086,-3.610054,7.220107,100.00
6.970,7.735960,-3.602556,82,7.771986,-3.602556,7.205112,100.00
6.980,7.700010,-3.595069,82,7.735960,-3.595069,7.190139,100.00
6.990,7.664134,-3.587593,82,7.700010,-3.587593,7.175186,100.00
7.000,7.628332,-3.580127,82,7.664134,-3.580127,7.160255,100.00
7.010,7.592606,-3.572672,82,7.628332,-3.572672,7.145344,100.00
7.020,7.556953,-3.565228,82,7.592606,-3.565228,7.130455,100.00
7.030,7.521375,-3.557793,82,7.556953,-3.557793,7.115587,100.00
7.040,7.485614,-3.576177,82,7.521375,-3.576177,7.152353,100.00
7.050,7.449927,-3.568649,82,7.485614,-3.568649,7.137298,100.00
7.060,7.414316,-3.561132,82,7.449927,-3.561132,7.122264,100.00
7.070,7.378780,-3.553625,82,7.414316,-3.553625,7.107251,100.00
7.080,7.343318,-3.546130,82,7.378780,-3.546130,7.092260,100.00
7.090,7.307932,-3.538645,82,7.343318,-3.538645,7.077290,100.00
7.100,7.272620,-3.531171,82,7.307932,-3.531171,7.062342,100.00
7.110,7.237383,-3.523708,83,7.272620,-3.523708,7.047415,100.00
7.120,7.201968,-3.541551,82,7.237383,-3.541551,7.083101,100.00
7.130,7.166628,-3.533995,82,7.201968,-3.533995,7.067989,100.00
7.140,7.131363,-3.526450,83,7.166628,-3.526450,7.052900,100.00
7.150,7.096174,-3.518916,83,7.131363,-3.518916,7.037832,100.00
7.160,7.061060,-3.511393,83,7.096174,-3.511393,7.022785,100.00
7.170,7.026021,-3.503880,83,7.061060,-3.503880,7.007761,100.00
7.180,6.991057,-3.496379,83,7.026021,-3.496379,6.992758,100.00
7.190,6.956169,-3.488889,83,6.991057,-3.488889,6.977777,100.00
7.200,6.921106,-3.506204,83,6.956169,-3.506204,7.012408,100.00
7.210,6.886120,-3.498622,83,6.921106,-3.498622,6.997245,100.00
7.220,6.851210,-3.491052,83,6.886120,-3.491052,6.982104,100.00
7.230,6.816375,-3.483493,83,6.851210,-3.483493,6.966985,100.00
7.240,6.781615,-3.475944,83,6.816375,-3.475944,6.951889,100.00
7.250,6.746931,-3.468407,83,6.781615,-3.468407,6.936814,100.00
7.260,6.712323,-3.460881,83,6.746931,-3.460881,6.921762,100.00
7.270,6.677789,-3.453366,83,6.712323,-3.453366,6.906731,100.00
7.280,6.643087,-3.470165,83,6.677789,-3.470165,6.940331,100.00
7.290,6.608462,-3.462561,83,6.643087,-3.462561,6.925121,100.00
7.300,6.573912,-3.454967,83,6.608462,-3.454967,6.909934,100.00
7.310,6.539438,-3.447384,84,6.573912,-3.447384,6.894769,100.00
7.320,6.505040,-3.439813,84,6.539438,-3.439813,6.879626,100.00
7.330,6.470717,-3.432253,84,6.505040,-3.432253,6.864506,100.00
7.340,6.436470,-3.424704,84,6.470717,-3.424704,6.849409,100.00
7.350,6.402299,-3.417167,84,6.436470,-3.417167,6.834334,100.00
7.360,6.367964,-3.433463,84,6.402299,-3.433463,6.866926,100.00
7.370,6.333706,-3.425837,84,6.367964,-3.425837,6.851674,100.00
7.380,6.299523,-3.418222,84,6.333706,-3.418222,6.836445,100.00
7.390,6.265417,-3.410619,84,6.299523,-3.410619,6.821238,100.00
7.400,6.231387,-3.403027,84,6.265417,-3.403027,6.806055,100.00
7.410,6.197433,-3.395447,84,6.231387,-3.395447,6.790894,100.00
7.420,6.163554,-3.387878,84,6.197433,-3.387878,6.775756,100.00
7.430,6.129751,-3.380320,84,6.163554,-3.380320,6.760640,100.00
7.440,6.095789,-3.396125,84,6.129751,-3.396125,6.792249,100.00
